id,nombre_curso,anio,categoria_id
1,"2DO BOOTCAMP CREE CREA CRECE 2022",2022,4
2,"ASISTENCIA TECNICA PARA LA IDENTIFICACION, CATEGORIZACION, PRIORIZACION Y EVALUACION DE LINEAS DE INVESTIGACION EN LA UNA-PUNO",2021,1
3,"CAPACITACION EN MANEJO Y USO DE LIBRO E-BOOK ESSENTIAL PHYSICS Y SOFTWARE YENKA PARA DOCENTES DEL PROGRAMA DE ESTUDIOS DE FISICA",2022,2
4,"CAPACITACION PARA LA FORMALIZACION DE SEMILLEROS Y GRUPOS DE INVESTIGACION",2024,1
5,"CAPACITACION SOBRE HERRAMIENTAS DIGITALES EN INVESTIGACION",2021,2
6,"CIENCIA, TECNOLOGIA, INNOVACION, EMPRENDIMIENTO I+D+I+E",2020,4
7,"COMO ELABORAR MI TESIS, PASOS BASICOS",2022,1
8,"CONFERENCIA : ""RESULTADOS DEL 1ER ANO DE OPERACION DEL SATELITE PERUSAT-1""",2018,3
9,"CONFERENCIA ETICA DE LA FUNCION PUBLICA",2022,6
10,"CONGRESO PERUANO ARGENTINO BOLIVIANO DE INGENIERIA DE SISTEMAS E INFORMATICA",2021,3
11,"CURSO : CAPACITACION Y MODIFICACION DEL REGLAMENTO DE LA PLATAFORMA DE LA PLATAFORMA PILAR Y SU DIFUSION",2018,6
12,"CURSO DE CAPACITACION EN HERRAMIENTAS OFIMATICAS PARA LA PLATAFORMA DE INVESTIGACION",2016,6
13,"CURSO DE CAPACITACION Y ESPECIALIZACION EN DSPACE",2016,7
14,"CURSO DE CAPACITACION: REGLAMENTO Y USO DE TURNITIN PARA DOCENTES",2022,2
15,"CURSO DE INVESTIGACION CIENTIFICA",2019,1
16,"CURSO DE PROGRAMACION EN PYTHON APLICADO AL ANALISIS DE DATOS EN CIENCIA E INGENIERIA",2018,7
17,"CURSO DE: SISTEMA DE INFORMACION GEOGRAFICA - ARCGIS",2018,7
18,"CURSO SISTEMA ANTIPLAGIO URKUND BY OURIGINAL",2021,8
19,"CURSO TALLER : ENGLISH PRONUNTIATION",2017,5
20,"CURSO TALLER : REGISTRO Y OBTENCION DEL CODIGO ORCID PARA INVESTIGADORES",2018,1
21,"CURSO TALLER DE CAPACITACION EN REDACCION Y PUBLICACION DE ARTICULOS CIENTIFICOS",2019,1
22,"CURSO TALLER DE VALIDEZ Y CONFIABILIDAD DE INSTRUMENTOS PARA LA INVESTIGACION CIENTIFICA",2022,1
23,"CURSO VIRTUAL LATEX- NIVEL BASICO",2021,2
24,"CURSO VIRTUAL: APRENDIENDO A EMPRENDER",2021,4
25,"CURSO VIRTUAL: HERRAMIENTAS ON LINE PARA EL APRENDIZAJE SINCRONICO",2020,2
26,"CURSO VIRTUAL: LA ENSENANZA VIRTUAL EN LA EDUCACION UNIVERSITARIA",2020,5
27,"DESARROLLO DE CAPACIDADES EMPRENDEDORAS",2023,4
28,"DISCUSIONES EPISTEMOLOGICAS DE CONSTRUCCION DISCIPLINARIA",2019,1
29,"FORTALECIMIENTO DE CAPACIDADES EN EMPRENDIMIENTO EMPRESARIAL DEL VICERRECTORADO DE INVESTIGACION",2018,4
30,"FOTOGRAMETRIA DIGITAL APLICANDO LOS UAV-DRONES EBEE X SENSEFLY",2019,7
31,"GESTION DE REFERENCIAS CON MENDELEY Y LA UTILIZACION DEL SOFTWARE URKUND",2020,2
32,"HERRAMIENTAS LIBRES Y GRATUITAS PARA CLASES VIRTUALES EN TIEMPO REAL",2020,2
33,"I - CONGRESO DE INICIACION CIENTIFICA",2023,3
34,"I - CURSO DE ACTUALIZACION EN MATEMATICA Y FISICA (VIRTUAL)",2020,7
35,"I - JORNADA EMPRENDE UNA 2018: OPORTUNIDADES Y RETOS PARA UN EMPRENDEDOR",2018,4
36,"I - SEMINARIO TALLER DE INICIACION EN INVESTIGACION EN INFORMATICA Y CIENCIAS DE LA COMPUTACION",2016,1
37,"I CONGRESO INTERNACIONAL DE INVESTIGACION EN CIENCIAS DE LA COMPUTACION Y DATA SCIENCE",2017,3
38,"I CONGRESO INTERNACIONAL DE INVESTIGACION EN HOMENAJE AL DR. JULIO MAYTA QUISPE",2023,3
39,"I CONGRESO INTERNACIONAL EN INGLES: ""SUPERANDO BARRERAS""",2024,3
40,"I CONGRESO INTERNACIONAL PERUANO - ARGENTINO DE INGENIERIA DE SISTEMAS E INFORMATICA - COPAISI 2020",2020,3
41,"II CONGRESO INTERNACIONAL DE INVESTIGACION EN HOMENAJE AL DR. ERNESTO JAVIER CHURA YUPANQUI",2024,3
42,"II CURSO DE ACTUALIZACION EN MATEMATICA Y FISICA: ""USO DEL MATLAB Y GEOGEBRA""",2021,7
43,"II FERIA DE TRANSFERENCIA TECNOLOGICA EN MATEMATICA Y FISICA 2021",2021,4
44,"III - CONGRESO INTERNACIONAL DE INGENIERIA DE SISTEMAS",2023,3
45,"III ENCUENTRO DE EGRESADOS Y GRADUADOS DEL PROGRAMA DE ESTUDIO DE CIENCIAS FISICO MATEMATICAS: MATEMATICAS DE LA UNIVERSIDAD NACIONAL DEL ALTIPLANO -PUNO: ""NETWORKING PARA PROFESIONALES DE MATEMATICAS""",2022,3
46,"INC21: DIDACTICA PARA EL EMPRENDIEMIENTO E INNOVACION UNIVERSITARIA",2021,4
47,"INDUCCION AL EMPRENDIMIENTO: APRENDE A EMPRENDER",2020,4
48,"INTRODUCCION A LA PROGRAMACION MATEMATICA Y PROGRAMACION DIFUSA",2022,7
49,"IV FORO INTERNACIONAL INTERUNIVERSITARIO: GESTION INTEGRAL DEL RIESGO DE DESASTRES (GIRD) Y PREVISION CLIMATICA (PC)",2019,8
50,"LA PROPIEDAD INTELECTUAL COMO HERRAMIENTA CLAVE PARA LA INNOVACION",2019,4
51,"LAS FIRMAS DIGITALES EN EL PERU: ASPECTOS TECNICOS Y LEGALES",2018,6
52,"MACHINE LEARNING CON PYTHON APLICADO AL PRONOSTICO DE INDICADORES AMBIENTALES",2019,7
53,"MECANISMOS DE RETRIBUCION POR SERVICIOS ECOSISTEMICOS PARA EMPRESAS DE AGUA Y SANEAMIENTO DE LA REGION PUNO",2021,8
54,"METODOLOGIAS DIDACTICAS PARA LA INNOVACION EDUCATIVA",2023,5
55,"MINEDU22 - CURSO: CAPACITACION PARA EL FORTALECIMIENTO Y DESARROLLO DE COMPETENCIAS DE LOS DOCENTES EN BIBLIOMETRIA Y EVALUACION CIENTIFICA",2022,1
56,"MINEDU22 - CURSO: CAPACITACION PARA EL FORTALECIMIENTO Y DESARROLLO DE COMPETENCIAS DE LOS DOCENTES EN BIBLIOMETRIA Y VISIBILIZACION CIENTIFICA",2022,1
57,"MINEDU22 - CURSO: FORTALECIMIENTO Y DESARROLLO DE COMPETENCIAS DE LOS DOCENTES EN DISENO METODOLOGICO DE LA INVESTIGACION DE LA U",2022,1
58,"MINEDU22 - CURSO: FORTALECIMIENTO Y DESARROLLO DE COMPETENCIAS DE LOS DOCENTES EN DISENO TEORICO DE LA INVESTIGACION (LOGICA DE LA INVESTIGACION)",2022,1
59,"MINEDU22 - CURSO: FORTALECIMIENTO Y DESARROLLO DE COMPETENCIAS DE LOS DOCENTES INVESTIGADORES EN REDACCION Y PUBLICACION DE ARTICULOS",2022,1
60,"MINEDU22 - CURSO:CAPACITACION PARA EL FORTALECIMIENTO Y DESARROLLO DE COMPETENCIAS DE LOS DOCENTES EN REDACCION CIENTIFICA Y MANEJO DE CITADO DE FUENTES",2022,1
61,"MS PROJECT - ADMINISTRACION DE PROYECTOS ""GRUPO A""",2021,6
62,"PRESENTACION DEL PORTAL DE LA REVISTA SEMESTRE ECONOMICO (RSE) Y CONFERENCIA MAGISTRAL SOBRE LA ACTUALIDAD ECONOMICA.",2022,3
63,"PROCEDIMIENTOS Y DISPOSICIONES PARA LA ELABORACION, APROBACION, EJECUCION, SUPERVISION Y EVALUACION DE LOS PROYECTOS E INFORMES DE INVESTIGACION EN LA FIMEES",2023,6
64,"PROCESO DE INVESTIGACION CIENTIFICA EN EL MARCO DE LA PLATAFORMA DE INVESTIGACION UNIVERSITARIA INTEGRADA A LA LABOR ACADEMICA CON RESPONSABILIDAD (PILAR)",2020,6
65,"PROGRAMA DE FORMACION CONTINUA: ""EXCELLENCE IN RESEARCH"" - PARTE I",2021,8
66,"PROGRAMA DE FORMACION CONTINUA: ""EXCELLENCE IN RESEARCH"" - PARTE II",2021,8
67,"PROGRAMACION COMPETITIVA, ¿QUE ES? Y ¿QUE VENTAJAS TIENE?",2021,7
68,"PROGRAMACION Y SIMULACION EN MATLAB Y SOFTWARE-R APLICADO A CASOS PRACTICOS EN CIENCIA E INGENIERIA",2018,7
69,"PROYECTOS DE INNOVACION PARA PREVENIR EL CONTAGIO DEL COVID-19 (CORONAVIRUS) EN LA UNIVERSIDAD NACIONAL DEL ALTIPLANO DE PUNO",2021,8
70,"REDACCION CIENTIFICA EN PORTUGUES",2016,1
71,"SEMINARIO DE CAPACITACION SOFTWARE MATEMATICO",2017,7
72,"SEMINARIO INTERNACIONAL VINCULOS TRANSFORMADORES: ACADEMIA, INDUSTRIA Y SOCIEDAD",2023,4
73,"SEMINARIO INTERNACIONAL: GESTION DE LA INVESTIGACION, DESARROLLO E INNOVACION",2020,4
74,"SIGMA PLOT - PAQUETE ESTADISTICO DE ANALISIS, GRAFICO Y VISUALIZACION: USO, MANEJO Y APLICACIONES",2017,7
75,"TALLER DE CAPACITACION SOBRE USO DE SOFTWARE LEGAL CASE",2019,2
76,"TECNOLOGIAS DE COMUNICACION Y PLATAFORMAS TECNOLOGICAS PARA EL DICTADO DE CLASES VIRTUALES – ONLINE",2020,2
77,"TRANSPARENCIA Y ACCESO A LA INFORMACION",2020,6
78,"URKUND: SOFTWARE DE DETECCION DE SIMILITUD Y PREVENCION DEL PLAGIO",2019,8
79,"USO ADECUADO DE LA PLATAFORMA DE INVESTIGACION PILAR",2016,6
80,"USO DE HERRAMIENTAS VIRTUALES EN SESIONES DE CLASE APLICADO AL BUEN DESEMPENO DEL DOCENTE UNIVERSITARIO",2020,2
81,"USO DEL SOFTWARE DE PREVENCION Y DETECCION DE SIMILITUD TURNITIN",2022,8
82,"WEBINAR CIENTIFICO: ""ELABORACION, REDACCION Y PUBLICACION DE ARTICULOS CIENTIFICOS EN CIENCIAS NATURALES Y FORMALES""",2022,1
